Title	URL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Notes	AddedUpdated							
Finnish Literature Society (SKS): Life for LGBTIQA Youth in the Past and Present 2014	http://urn.fi/urn:nbn:fi:fsd:T-FSD3020	Dataset		2015	2014	2014	Finnish Social Science Data Archive	Finnish Social Science Data Archive		Qualitative			Finland	Northern Europe			Finnish	Sexuality and Gender Identity	youth, bisexuals, gender identity, discrimination, homosexuality, sexual and gender minorities, lgbt or lgbti, sexual orientation	No		21/05/2025							
Gay and Lesbian ‘Marriage’: An Exploration of the Meanings and Significance of Legitimating Same Sex Relationships 2003-2006	https://doi.org/10.5255/UKDA-SN-5900-1	Dataset	Smart, C., and J. Mason. 2008. “Gay and Lesbian ‘Marriage’: An Exploration of the Meanings and Significance of Legitimating Same Sex Relationships, 2003-2006.” https://doi.org/10.5255/UKDA-SN-5900-1.	2008	2003	2006		UK Data Archive	"This qualitative study explores the area of lesbian and gay 'marriage' and civil partnerships. The objective was to examine the socio-legal, cultural and familial meanings and significance for lesbians and gay men of seeking public or formal recognition of relationships. This means examining the kinds of ceremonies couples hold (e.g. with religious elements or not), who they invite (e.g. families of origin or just friends), and whether they follow conventions such as the exchange of rings or whether they adopt radically different styles of ceremony. It also examined how parents and close kin respond to the marriage/registration (e.g. whether there is an exacerbation of or a reduction in feelings of disapproval) and also how the wider kinship network is affected.; Its specific aims were:;     to establish why lesbians and gay men may want to register their partnerships or have commitment ceremonies;     to ascertain how full marriage is regarded;     to identify the kinds of ceremonies that are/will be chosen to celebrate commitment;     to explore what meanings are given to such rituals;     to explore how wider kin respond to the marriage/registration;     to consider how embeddedness (or otherwise) in wider kin networks is influenced by these legitimation ceremonies;     to explore understandings of the legal implications of both partnership registration and of 'real' marriage; The study was based on in-depth interviews with same-sex couples. Fifty-four interviews were conducted: 37 with couples and 17 with individuals, giving a total 91 interviewees. Of these, 61 were women and 30 were men. The majority of interviewees were between 30 and 49 and some couples had been together thirty years or more. All except one respondents described themselves as white (mainly White British, White English, etc.) and the sample was disproportionately 'middle class' (a ratio of 8:1) taking into account factors of education level, the nature of employment and housing tenure. Just under a half (45 per cent) described themselves as having a faith or being part of a particular church congregation. All the respondents had already held some form of commitment ceremony/partnership registration or were planning one in the near future. The study was carried out before Civil Partnership (CP) was legally available so the couples interviewed (with the exception of 4 who had married abroad) were devising their own commitment ceremonies, or registering their relationships with local authorities. Once Civil Partnership was introduced participants were asked if they planned to do this as well and they all intended to do so. Feelings about whether the term marriage should be available to homosexual couples as well as raising questions about why a seemingly heterosexual institution remains important to homosexuals were also subsequently explored.; The interview schedule was open-ended (except for gathering information on basic data like date of birth or occupation) and covered topics from how the couple originally met, the type of ceremony they had organised or were planning, to how their friends and families of origin had reacted to the knowledge of their ceremony.; Respondents were recruited through a number of different sources, the lesbian and gay press, lesbian and gay organisations, and leafleting at gay venues and events. The majority of respondents were part of local networks. Some belonged to local or national lesbian and gay organisations. However, most were not strongly political."	Qualitative	No		United Kingdom	Northern Europe		Individual	English	Sexuality and Gender Identity, Family and Marriage, Socio-economic-cultural	attitudes, children, same-sex marriage, same-sex, relationship, gay couples, discrimination, family and marriage, lesbians, gay, transgender people, bisexuals, homosexual, homosexuality, income and wealth, sexual behavior, sexual orientation, social networks, religion	No		23/05/2025							
GAYSURVEY: National survey on HIV/AIDS behaviors and attitudes of men who have sex with other men: 1992 - 1994 - 1997 - 2000	https://doi.org/10.23662/FORS-DS-463-1	Dataset	André Jeannin, Hugues Balthasar, Françoise Dubois-Arber, Florence Moreau-Gruet: GAYSURVEY: National survey on HIV/AIDS behaviors and attitudes of men who have sex with other men: 1992 - 1994 - 1997 - 2000 [Data set]. University of Lausanne. Distributed by FORS, Lausanne, 2006. https://doi.org/10.23662/FORS-DS-463-1	2006	1987	2020		SWISSbase - Swiss Centre of Expertise in the Social Sciences FORS 	The research consists of the elements of the prevention program of HIV/AIDS in Switzerland	Quantitative	Yes	1992-2004	Switzerland	Western Europe	Nation	Individual	French	Sexuality and Gender Identity, Health	health, sexual orientation, homosexual, homosexuality, gay, hiv/aids, sexuality	Yes		23/05/2025							
Gender & LGBTQ	https://www.pewresearch.org/topic/gender-lgbtq/	Report					Pew Research Center	Pew Research Center	Pew Research Center is a nonpartisan fact tank that informs the public about the issues, attitudes and trends shaping the world. They conduct public opinion polling, demographic research, content analysis and data-driven social science research.				United States of America	Northern America			English	Opinions and Social Attitudes	lgbt or lgbti										
Gender diversity status of couples: New information in the 2021 Census	https://www12.statcan.gc.ca/census-recensement/2021/ref/98-20-0001/982000012021002-eng.cfm	Website		2022	2021	2021	Statistics Canada	Statistics Canada	Statistics Canada will disseminate census information on the gender diversity status of couples for the first time.	Quantitative	Yes	2021	Canada	Northern America	Nation	Group	English	Sexuality and Gender Identity		No									
Gender Minorities at Work 2003	http://urn.fi/urn:nbn:fi:fsd:T-FSD2797	Dataset		2013	2002	2003	Finnish Social Science Data Archive	Finnish Social Science Data Archive		Quantitative			Finland	Northern Europe			Finnish	Sexuality and Gender Identity	lgbt or lgbti, discrimination, transgender people, employment, labor, gender identity, sexual and gender minorities, equality and inequality 	No		21/05/2025							
Gender Minorities at Work 2003: Open-ended Responses	http://urn.fi/urn:nbn:fi:fsd:T-FSD2819	Dataset		2013	2002	2003	Finnish Social Science Data Archive	Finnish Social Science Data Archive		Qualitative			Finland	Northern Europe			Finnish	Sexuality and Gender Identity	lgbt or lgbti, discrimination, transgender people, employment, labor, gender identity, sexual and gender minorities, equality and inequality 	No		21/05/2025							
Gender, Diversity and Inclusion Statistics Hub	https://www.statcan.gc.ca/hub-carrefour/gdis-sgdi/index-eng.htm	Website		2025		2025	Statistics Canada	Statistics Canada	The Hub enables data users to more easily find disaggregated and intersectional data, analytical products and insights.	Quantitative	Yes		Canada	Northern America	Nation	Group	English	Sexuality and Gender Identity		No		08/05/2025							
Generations: A Study of the Life and Health of LGB People in a Changing Society, United States, 2016-2019	https://doi.org/10.3886/ICPSR37166	Dataset	Meyer, Ilan H. Generations: A Study of the Life and Health of LGB People in a Changing Society, United States, 2016-2019. Inter-university Consortium for Political and Social Research [distributor], 2023-01-05. https://doi.org/10.3886/ICPSR37166.v2	2020	2016	2019		Inter university Consortium for Political and Social Research ICPSR																					
Getuigen Verhalen,De homo-subcultuur in de grote stad,vlak voor,tijdens en vlak na WO2,interview 01.Witness Stories, The gay subculture in the big city	https://doi.org/10.17026/dans-xxx-vb5x	Dataset		2009	2013	2013	Jan Carel Warffemius	Data Archiving and Networked Services (DANS)		Qualitative	No		Netherlands	Western Europe		Individual	Dutch	Sexuality and Gender Identity	homosexual, lgbt or lgbti, sexual orientation	Yes	no English keyword. Description in Dutch. There is one restricted file.	20/05/2025							
Getuigen Verhalen,De homo-subcultuur in de grote stad,vlak voor,tijdens en vlak na WO2,interview 02. Witness Stories, The gay subculture in the big city	https://doi.org/10.17026/dans-xfa-9hvg	Dataset		2009	1935	1947	Jan Carel Warffemius	Data Archiving and Networked Services (DANS)		Qualitative	No		Netherlands	Western Europe		Individual	Dutch	Sexuality and Gender Identity	homosexual, lgbt or lgbti, sexual orientation	Yes	no English keyword. Description in Dutch. There is one restricted file.	20/05/2025							
Getuigen Verhalen,De homo-subcultuur in de grote stad,vlak voor,tijdens en vlak na WO2,interview 03.  Witness Stories, The gay subculture in the big city	https://doi.org/10.17026/dans-xw4-5hg9	Dataset		2009	1927	1947	Jan Carel Warffemius	Data Archiving and Networked Services (DANS)		Qualitative	No		Netherlands	Western Europe		Individual	Dutch	Sexuality and Gender Identity	homosexual, lgbt or lgbti, sexual orientation	Yes	no English keyword. Description in Dutch. There is one restricted file.	20/05/2025							
Getuigen Verhalen,De homo-subcultuur in de grote stad,vlak voor,tijdens en vlak na WO2,interview 04.  Witness Stories, The gay subculture in the big city	https://doi.org/10.17026/dans-2b8-9p5j	Dataset		2009	1938	1949	Jan Carel Warffemius	Data Archiving and Networked Services (DANS)		Qualitative	No		Netherlands	Western Europe		Individual	Dutch	Sexuality and Gender Identity	homosexual, lgbt or lgbti, sexual orientation	Yes	no English keyword. Description in Dutch. There is one restricted file.	20/05/2025							
Getuigen Verhalen,De homo-subcultuur in de grote stad,vlak voor,tijdens en vlak na WO2,interview 05.  Witness Stories, The gay subculture in the big city	https://doi.org/10.17026/dans-zh2-46xu	Dataset		2009	1937	1948	Jan Carel Warffemius	Data Archiving and Networked Services (DANS)		Qualitative	No		Netherlands	Western Europe		Individual	Dutch	Sexuality and Gender Identity	homosexual, lgbt or lgbti, sexual orientation	Yes	no English keyword. Description in Dutch. There is one restricted file.	20/05/2025							
Getuigen Verhalen,De homo-subcultuur in de grote stad,vlak voor,tijdens en vlak na WO2,interview 06.  Witness Stories, The gay subculture in the big city	https://doi.org/10.17026/dans-x8y-ztd5	Dataset		2009	1939	1947	Jan Carel Warffemius	Data Archiving and Networked Services (DANS)		Qualitative	No		Netherlands	Western Europe		Individual	Dutch	Sexuality and Gender Identity	homosexual, lgbt or lgbti, sexual orientation	Yes	no English keyword. Description in Dutch. There is one restricted file.	20/05/2025							
Getuigen Verhalen,De homo-subcultuur in de grote stad,vlak voor,tijdens en vlak na WO2,interview 07.  Witness Stories, The gay subculture in the big city	https://doi.org/10.17026/dans-ztu-2ts4	Dataset		2009	1934	1949	Jan Carel Warffemius	Data Archiving and Networked Services (DANS)		Qualitative	No		Netherlands	Western Europe		Individual	Dutch	Sexuality and Gender Identity	homosexual, lgbt or lgbti, sexual orientation	Yes	no English keyword. Description in Dutch. There is one restricted file.	20/05/2025							
Getuigen Verhalen,De homo-subcultuur in de grote stad,vlak voor,tijdens en vlak na WO2,interview 08.  Witness Stories, The gay subculture in the big city	https://doi.org/10.17026/dans-25b-tu7d	Dataset		2009	1935	1947	Jan Carel Warffemius	Data Archiving and Networked Services (DANS)		Qualitative	No		Netherlands	Western Europe		Individual	Dutch	Sexuality and Gender Identity	homosexual, lgbt or lgbti, sexual orientation	Yes	no English keyword. Description in Dutch. There is one restricted file.	20/05/2025							
Getuigen Verhalen,De homo-subcultuur in de grote stad,vlak voor,tijdens en vlak na WO2,interview 09.  Witness Stories, The gay subculture in the big city	https://doi.org/10.17026/dans-x9g-4kx4	Dataset		2009	1937	1947	Jan Carel Warffemius	Data Archiving and Networked Services (DANS)		Qualitative	No		Netherlands	Western Europe		Individual	Dutch	Sexuality and Gender Identity	homosexual, lgbt or lgbti, sexual orientation	Yes	no English keyword. Description in Dutch. There is one restricted file.	20/05/2025							
Getuigen Verhalen,De homo-subcultuur in de grote stad,vlak voor,tijdens en vlak na WO2,interview 10.  Witness Stories, The gay subculture in the big city	https://doi.org/10.17026/dans-zrg-55r8	Dataset		2009	1939	1946	Jan Carel Warffemius	Data Archiving and Networked Services (DANS)		Qualitative	No		Netherlands	Western Europe		Individual	Dutch	Sexuality and Gender Identity	homosexual, lgbt or lgbti, sexual orientation	Yes	no English keyword. Description in Dutch. There is one restricted file.	20/05/2025							
"Good neighbours? Africans express high levels; of tolerance for many, but not for all"	https://www.afrobarometer.org/wp-content/uploads/2022/02/ab_r6_dispatchno74_tolerance_in_africa_eng1.pdf	Report		2016			Afrobarometer	Afrobarometer	Findings on tolerance in Africa from Afrobarometer Round 6 surveys in 33 countries in 2014/2015. While Africa is often portrayed as a continent of ethnic and religious division and intolerance, findings show high degrees of acceptance of people from different ethnic groups, people of different religions, immigrants, and people living with HIV/AIDS (PLWHA). Proximity and frequent contact with different types of people seem to nurture tolerance, as suggested by higher levels of tolerance in more diverse countries and a strong correlation between acceptance of PLWHA and national HIV/AIDS prevalence rates. A major exception to Africa’s high tolerance is its strongly negative attitude toward homosexuals. Even so, while the discourse on homosexuality has often painted Africa as a caricature of homophobia, the data reveal that homophobia is not a universal phenomenon in Africa: At least half of all citizens in four African countries say they would not mind or would welcome having homosexual neighbours. Report has table with counts and percentages for each country.				Burkina Faso, Tanzania, South Africa, Zimbabwe, Kenya, Benin, Zambia, Senegal, Uganda, Namibia, Eswatini, Botswana, Togo, Niger, Ghana, Mali, Burundi, Mauritius, Gabon, Sao Tome and Principe, Côte d’Ivoire, Lesotho, Mozambique, Tunisia, Cameroon, Madagascar, Sierra Leone, Morocco, Liberia, Cabo Verde, Guinea, Malawi, Nigeria	Africa	Nation	Political or Administrative Area	English	Opinions and Social Attitudes	opinions, toleration, homosexual, attitudes	No		21/05/2025							
Homosaurus Vocabulary Terms	https://homosaurus.org/	Controlled Vocabulary		2021			Homosaurus.org		The Homosaurus is an international linked data vocabulary of Lesbian, Gay, Bisexual, Transgender, and Queer (LGBTQ) terms. https://homosaurus.org.  This vocabulary is intended to function as a companion to broad subject term vocabularies, such as the Library of Congress Subject Headings. Libraries, archives, museums, and other institutions are encouraged to use the Homosaurus to support LGBTQ research by enhancing the discoverability of their LGBTQ resources.  Search term at https://homosaurus.org/search/v3								English	Sexuality and Gender Identity	sexual orientation, gender identity, terminology, sexual and gender minorities	No									
Homosexual Relationships 2001	http://urn.fi/urn:nbn:fi:fsd:T-FSD1290	Dataset		2005	2001	2001	Finnish Social Science Data Archive	Finnish Social Science Data Archive		Qualitative			Finland	Northern Europe			Finnish	Sexuality and Gender Identity	gender identity, lgbt or lgbti, sexual behavior, homosexuality, heterosexual, sexual orientation, bisexuals	No		21/05/2025							
Homosexuality 2001	http://urn.fi/urn:nbn:fi:fsd:T-FSD1253	Dataset		2018	2001	2001	Finnish Social Science Data Archive	Finnish Social Science Data Archive		Qualitative			Finland	Northern Europe			Finnish	Sexuality and Gender Identity	gender identity, lgbt or lgbti, sexual behavior, homosexuality, heterosexual, sexual orientation, bisexuals	No		21/05/2025							
Homosexuality in Finland in the 1940s and the 1960s,Data Gathered 1994-1998	http://urn.fi/urn:nbn:fi:fsd:T-FSD2291	Dataset		2007	1940	1960	Finnish Social Science Data Archive	Finnish Social Science Data Archive		Qualitative			Finland	Northern Europe			Finnish	Sexuality and Gender Identity	gender identity, lgbt or lgbti, sexual behavior, homosexuality, heterosexual, sexual orientation, bisexuals, sexual and gender minorities, toleration	No		21/05/2025							
Homosexuality in Finland in the 1940s and the 1960s: Partial Data,Gathered 1994-1998	http://urn.fi/urn:nbn:fi:fsd:T-FSD2308	Dataset		2008	1940	1960	Finnish Social Science Data Archive	Finnish Social Science Data Archive		Qualitative			Finland	Northern Europe			Finnish	Sexuality and Gender Identity	gender identity, lgbt or lgbti, sexual behavior, homosexuality, heterosexual, sexual orientation, bisexuals, sexual and gender minorities, toleration	No		21/05/2025							
Household Pulse Survey Public Use File (PUF)	https://data.census.gov/table?q=household+pulse+survey	Dataset		2024	2024	2024	U.S. Census Bureau	U.S. Census Bureau	The Household Pulse Survey (HPS) was designed to deploy quickly and efficiently, collecting data to measure how emergent issues are impacting U.S. households from a social and economic perspective. Data were disseminated in near real-time to inform federal and state action.	Quantitative	Yes	2020-present	United States of America	Northern America	Nation	Household	English	Socio-economic-cultural, Demographic and Vital Statistics, Youth, Opinions and Social Attitudes, Health 	families, health, housing, pandemic, finance and financial institutions, environment, child welfare, poverty, covid-19, anxiety, natural disasters, mental health, attitudes, economic change, income and wealth	No		25/04/2025							
Improving data on 2SLGBTQ+ populations	https://www.statcan.gc.ca/o1/en/plus/4313-improving-data-2slgbtq-populations	Website		2023	2021	2023	Statistics Canada	Statistics Canada	Action Plan is to improve data collection, analysis, research and knowledge on 2SLGBTQI+ people in Canada	Quantitative		2001-2021	Canada	Northern America	Nation	Group	English	Sexuality and Gender Identity	sexual and gender minorities	No		08/05/2025							
Intimate migrations: LGBT migrants from Central Eastern Europe and Former Soviet Union in Scotland 2015-2016	https://doi.org/10.5255/UKDA-SN-853389	Dataset	Stella, F., Flynn, M. (2019). Intimate migrations: LGBT migrants from Central Eastern Europe and Former Soviet Union in Scotland 2015-2016. [data collection]. UK Data Service. SN: 853389, DOI: 10.5255/UKDA-SN-853389 (not found via keyword search)	2019	2015	2016		UK Data Archive	"Despite a growing body of empirical research focusing on migration and same-sex sexualities, this work has thus far mainly focussed on North America. To date, little empirical research has been conducted on intra-European queer migration, despite very uneven levels of recognition of LGBT (lesbian, gay, bisexual, transgender) rights across Europe. This raises questions as to whether transnational migration can be a strategy for enabling non-heteronormative practices and identities, and for accessing sexual citizenship rights.; The project explores how sexuality may shape intra-European migration through a focus on the lived experiences of LGBT migrants who have moved to Scotland from the postsocialist region [Eastern Europe (EE) and the Former Soviet Union (FSU)]. The project's geographical scope is timely, as comparative surveys point to an East/West divide within Europe in terms of policy, legislation and attitudes towards LGBT citizens, with the UK ranked among the most progressive European countries and most countries from the post-socialist region lagging behind (FRA 2013). Moreover, since the mid-2000s the UK has experienced high rates of immigration from the region, with an estimated 653,000 Eastern Europeans settling in the UK in the period 2004-2011 (Vargas-Silva 2013:4).; A focus on Scotland as a migration destination can illuminate broader issues related to UK and intra-European queer migration, whilst also presenting a distinctive case, owing to: i) the significant recent influx of migrants from the post-socialist region to Scotland ii) the higher proportion of European to non-European migrants in Scotland compared to most other UK regions; iii) Scotland's recent shift from a country of emigration to a country with a positive migration balance; iv) Scotland's devolved government and specific demographic and socio-legal context within the UK, despite migration remaining a 'reserved' Westminster matter.; This project provides an in-depth and nuanced exploration of the lived experiences of LGBT migrants, generating significant original data and fresh insights into the role of sexuality in the migration process. The project is interdisciplinary in nature, and draws on empirical, theoretical and methodological insights from sociology, area studies, human geography and anthropology. The research innovatively brings together theoretical frameworks previously used in isolation (intersectionality, transnationalism and personal communities). It combines biographical interviews (phase 1) with visual methods (photo diaries, sociograms) and follow-up interviews (phase 2), in order to capture the complexity of migrants' experiences, multiple belongings and emotional attachments. The research explores how sexuality and gender identity affect reasons for migrating, experiences of migration and plans for long-term settlement. It also contextualises migrants' sense of (dis)comfort, (in)security and belonging within the social networks they cultivate across home and host societies, and considers the role played by sexuality and ethnicity in shaping migrants' 'personal communities' (Pahl and Spencer 2004) and their engagements with them. While foregrounding sexuality and ethnicity, the research will also consider how other factors (such as socio-economic background, gender, nationality, migration status etc) may affect experiences of migration and resettlement.; The research contributes fresh empirical and conceptual insights to topical debates in sexuality and migration studies on the role played by intimacy, emotions and personal communities in shaping migration and resettlement. The research also generated findings and outputs of interest to end users from the public and voluntary sector. This was achieved through a sustained engagement with a range of stakeholders working with LGBT, migrant and minority ethnic communities, or promoting intersectional approaches to equality and diversity agendas."	Qualitative	No		United Kingdom	Northern Europe		Individual	English	Sexuality and Gender Identity, Migration and Immigration	sexual behavior, immigration, lgbt or lgbti, gay, lesbians, migration, transgender people, bisexuals	Yes		23/05/2025							
Latino MSM Community Involvement: HIV Protective Effects	https://doi.org/10.3886/ICPSR34385	Dataset	Ramirez-Valles, Jesus. Latino MSM Community Involvement: HIV Protective Effects. Inter-university Consortium for Political and Social Research [distributor], 2014-04-02. https://doi.org/10.3886/ICPSR34385.v2	2014	2003	2004		Inter university Consortium for Political and Social Research ICPSR	"The purpose of this study was to contribute to the conceptual understanding and practical application of social integration theory to health behaviors. The research aimed to investigate the protective effects of community involvement in HIV/AIDS and gay-related organizations for HIV/AIDS sexual risk behavior among Latino gay or bisexual men and transgender individuals in Chicago and San Francisco. As part of this, the study examined HIV prevalence and the socioeconomic correlates of HIV infection, sexual risk behaviors, and substance use. Further, the study tested whether community involvement in AIDS and LGBT organizations moderated the relationship of racial and homosexual stigma to sexual risk behavior. Data were collected from a sample of 643 individuals (Chicago: n=320; San Francisco: n=323) through respondent-driven sampling and computer-assisted self-administered interviews. Demographic variables included ethnic identification, sexual identification, ZIP code (only available in restricted use data), country of birth, years in the United States, employment status, income, family religion, age, and health/STD status."	Quantitative	No	2003-2004	United States of America	Northern America	Prefecture or City	Individual	English	Sexuality and Gender Identity	identity, sexual behavior, families, racial equity/inequity, religion, transgender people, hispanic or latino americans, sexual orientation, social inclusion, suicide, homosexuality	Yes									
Lay Conceptions of Sexual Orientation Groups: United States Convenience Samples, 2012 (ICPSR 38131)	https://doi.org/10.3886/ICPSR38131	Dataset		2023	2012	2013	Yale University	Inter university Consortium for Political and Social Research ICPSR	Researchers aimed to characterize certain features of lay beliefs and attitudes surrounding sexual orientation groups, with a particular focus on conceptions of bisexual people. In brief, participants were recruited without explicitly calling attention to their own sexual orientation, but with a number of intentional steps to make the study visible to sexual minorities. The study asked participants a series of questions about issues related to sexuality, gender, and sexual orientation. Most notably, in the middle section of the study, participants were randomly assigned to consider one group in-depth: heterosexual women, heterosexual men, bisexual women, bisexual men, homosexual women, and homosexual men. (The adjective structure was kept consistent for all 6 groups.) Participants responded to a number of attitude and belief items about their assigned target group, including beliefs about the controllability and stability of the group's sexual orientation and guesses about the personality characteristics of group members.	Qualitative	No	2012	United States of America	Northern America	Prefecture or City	Individual	English	Sexuality and Gender Identity	bisexuals, gender	Yes									
Lesbian, Gay and Bisexual employees' experience of discrimination,bullying and harassment at work	https://doi.org/10.5255/UKDA-SN-851358	Dataset	Hoel, H. (2014). Lesbian, Gay and Bisexual employees' experience of discrimination, bullying and harassment at work. [data collection]. UK Data Service. SN: 851358, DOI: 10.5255/UKDA-SN-851358 (ReShare, NOT found via keyword search)	2014	2011	2012		UK Data Archive	This study will examine the working experiences of lesbians, gay men and bisexuals (LGB) in terms of discrimination, bullying and harassment. By means of a survey of a random sample of 500 LGBs and a similar number of heterosexual employees, the study will describe and quantify experiences, examine how experiences vary between lesbians, gays and bisexuals, and how they differ from those of heterosexuals. Factors which may contribute to negative experiences, eg gender, age, ethnicity, disability, levels of education, pay, tenure, organisational status and occupation will be explored. The survey will be followed up by six organisational case studies, two each from the public, private and third sectors, respectively representing a high and a low risk organisation in terms of discrimination, bullying and harassment. In addition to investigating various risk-factors, the case studies will explore how LGBs describe and make sense of their working experiences with a particular focus on LGBs’ level of openness about their sexuality in the workplace. Information about how actions by management, trade unions/staff associations and other players might impact on disclosure and experience of discrimination, bullying and harassment will also be sought.	Mixed	No		United Kingdom	Northern Europe		Individual	English	Sexuality and Gender Identity, Discrimination, Opinions and Social Attitudes, Socio-economic-cultural	homosexual, sexual orientation, employment, homosexual, homosexuality, lesbians, gay, transgender people, bisexuals, opinions, bullying, discrimination, lgbt or lgbti, harassment 	No		23/05/2025							
Lesbian, gay, and bisexual youth - Lesbische,homoseksuele,biseksuele jongeren - LHBJ2013 	https://doi.org/10.17026/dans-257-nqz4	Dataset		2013	2013	2013	Sociaal en Cultureel Planbureau (SCP) (Netherlands Institute for Social Research)	Data Archiving and Networked Services (DANS)		Quantitative	No		Netherlands	Western Europe			Dutch	Sexuality and Gender Identity, Discrimination, Youth	sexual and gender minorities, homosexual, homosexuality, gay, bisexuals, transgender people, lesbians, discrimination, living open and daily life, youth, sexual orientation	No		23/05/2025							
Lesbian, gay, bisexual seniors -Lesbische,homoseksuele,biseksuele ouderen (55+) - LHBO2014 	https://doi.org/10.17026/dans-zej-55ex	Dataset		2014	2014	2014	Sociaal en Cultureel Planbureau (SCP) (Netherlands Institute for Social Research)	Data Archiving and Networked Services (DANS)		Quantitative	No		Netherlands	Western Europe			Dutch	Sexuality and Gender Identity, Discrimination	sexual and gender minorities, homosexual, homosexuality, gay, bisexuals, transgender people, lesbians, discrimination, living open and daily life, sexual orientation	No		23/05/2025							
LGBT CESSDA Data Catalogue	https://datacatalogue.cessda.eu/?q=LGBT 	Data Repository, Finding Aid			1900		Consortium of European Social Science Data Archives (CESSDA)	Consortium of European Social Science Data Archives (CESSDA)	Catalog search results for the keyword LGBT	Mixed				Europe			English	Movements, Discrimination, Family and Marriage, Criminal Justice, Law and Policy, Civil and Political Rights, Health and Gender Identity, Socio-economic-cultural, Social Justice and Equality, Opinions and Social Attitudes, Youth	same-sex, sexual orientation, lgbt or lgbti, gender identity, transgender people, nonbinary, law and legislation, criminal law, hate crimes, same-sex marriage, conversion therapy, discrimination, equality and inequality, employment, housing, education, human services, prejudice, opinions, attitudes, toleration, sexual and gender minorities, homosexual, living open and daily life, health, healthcare, homosexuality, gay, stigma, (disease), hiv-positive persons, bisexuals, children, mental health, migration, art, domestic violence, same-sex, youth, citizenship, social movements, income and wealth, culture, religion, labor unions, public opinion, voting, voting rights	No	subjects listed is not exhaustive.  Database has more keywords								
LGBT Equality Index in Asia: The most LGBT-Friendly Places in Asia (Equaldex)	https://www.equaldex.com/equality-index?continent=Asia	Website, Map					Equaldex	Equaldex	The Equality Index measures the current status of LGBT rights, laws, and freedoms as well as public attitudes towards LGBT people. The website has a timeline of LGTB Rights.  Equaldex is a collaborative knowledge base for the LGBTQ+ (lesbian, gay, bisexual, transgender) movement. Our mission is to crowdsource laws and public opinion data related to LGBTQ+ rights to provide a comprehensive and global view of the LGBTQ+ rights movement. Using community-verified data, Equaldex can automatically score and rank every country and region's Equality Index to measure the progress of LGBTQ+ rights.				Global		Nation	Text Unit	English	Law and Policy, Opinions and Social Attitudes, Civil and Political Rights, Discrimination	opinions, law and legislation, civil rights, family life and marriage, discrimination										
LGBT Mothers' Experiences of Break-Up 2016	http://urn.fi/urn:nbn:fi:fsd:T-FSD3180	Dataset		2017	2016	2016	Finnish Social Science Data Archive	Finnish Social Science Data Archive		Qualitative			Finland	Northern Europe			Finnish	Sexuality and Gender Identity	lgbt or lgbti, homosexuality, bisexuals, gender identity, family life and marriage, same-sex marriage	No		21/05/2025							
LGBT Roper Center for Public Opinion Research	https://ropercenter.cornell.edu/topics-glance/lgbt	Dataset					Roper Center for Public Opinion Research	Roper Center for Public Opinion Research	Public opinion data in response to questions about sexual orientation and gender identity. These are often parts of other studies, such as asking people if they are in agreement with political candidates about LGBTQ+ issues.	Mixed			United States of America	Northern America			English	Sexuality and Gender Identity	opinions	Yes	Must be a Roper Center member to see the questions and the data.								
LGBT+ Networks 2017-2020	https://doi.org/10.5255/UKDA-SN-855322	Dataset	Einarsdottir, A., Mumford, K., Birks, Y., Lockyer, B., Sayli, M., Jeep, S. (2021). LGBT+ Networks, 2017-2020. [data collection]. UK Data Service. SN: 855322, DOI: 10.5255/UKDA-SN-855322 (ReShare, NOT found via keyword search)	2021	2017	2020		UK Data Archive	"his research aims to offer better understanding of how lesbian, gay, bisexual and transgender (LGBT+) employee networks are run and what they can do to improve relationships between colleagues, and ultimately, improve the wellbeing of LGBT+ employees. In doing so, the research focuses on LGBT+ employee networks within the NHS in nine different institutions by administering surveys, interviewing network members and taking part in network activities. To achieve our research aims, the following objectives have been set:; 1) Establish baseline understanding of how LGBT+ employee networks operate;; 2) Map network membership and explore ways of addressing insufficient representation of different groups with the networks;; 3) Explore what support is in place to archive networks' vision and what barriers exists to realise this vision;; 4) Examine ways of using LGBT+ employee networks to address negativity towards gender and sexual minorities more effectively."	Qualitative	No		United Kingdom	Northern Europe		Individual	English	Sexuality and Gender Identity, Health	health, social networks, lgbt or lgbti,  lesbians, gay, bisexual, transgender people	No		23/05/2025							
LGBT+ population of Aotearoa: Year ended June 2021	https://www.stats.govt.nz/information-releases/lgbt-plus-population-of-aotearoa-year-ended-june-2021/	Website		2022	2021	2021	New Zealand Government	New Zealand Government	The data in this release comes from the Household Economic Survey, year ended June 2021, which surveyed about 16,000 responding households	Quantitative			New Zealand	Australia and New Zealand	Nation		English	Sexuality and Gender Identity	sexual and gender minorities	No		08/05/2025							
LGBT+ rights and issues in the MIddle East	https://commonslibrary.parliament.uk/research-briefings/cbp-9457/	Report		2022					"The Middle East—encompassing countries from Jordan and Turkey to Iran—has some of the world’s most restrictive legislation for LGBT+ people.; This briefing describes the legal situation for LGBT+ people in 13 countries, including Saudi Arabia, Turkey, Iran, and Iraq. It should be read as correct at the time of publication (February 2022)."					Western Asia			English	Law and Policy, Criminal Justice											
